"","ID.Number","Rank_gift","predicted_gift_amount"
"1",432003,1,17677.1058347339
"2",104427,2,14388.6906212454
"3",2208772,3,14017.7378794872
"4",296378,4,13410.475689671
"5",2101519,5,13139.1925347985
"6",469941,6,12294.728232967
"7",2214044,7,12266.1680236874
"8",51983,8,11844.9320619048
"9",109033,9,11745.7430202059
"10",87465,10,11509.3238091352
"11",29596,11,11104.5215430821
"12",91344,12,11035.8773615718
"13",232912,13,11006.4502338819
"14",238250,14,10847.7332
"15",267958,15,10704.7332134342
"16",215186,16,10465.1867170841
"17",212796,17,10435.6942214452
"18",472949,18,10247.7004615979
"19",465413,19,10205.5039258557
"20",156976,20,10078.9454699277
"21",228988,21,9946.44751327249
"22",55500,22,9902.94068884734
"23",395461,23,9812.15732291013
"24",131580,24,9782.94449932443
"25",251060,25,9760.51786505745
"26",517668,26,9672.43934801193
"27",117400,27,9546.8143548231
"28",299124,28,9473.93134643821
"29",469892,29,9461.1806719804
"30",311541,30,9457.83799485514
"31",722510,31,9394.51297960373
"32",42370,32,9310.65457067669
"33",370202,33,9309.99581215831
"34",339911,34,9173.27101508688
"35",692129,35,9118.17550051657
"36",2127683,36,9102.90093067487
"37",811999,37,9011.38005600735
"38",324762,38,9003.03259111721
"39",310408,39,8917.92707938833
"40",502111,40,8896.11713442063
"41",56305,41,8871.50451904762
"42",198771,42,8783.22094633023
"43",360206,43,8719.09306630755
"44",19833,44,8717.65234951539
"45",80451,45,8642.65834857502
"46",752978,46,8632.53925714286
"47",733446,47,8530.73640783637
"48",798868,48,8523.47390075188
"49",127836,49,8514.39106904762
"50",442022,50,8377.87373772894
"51",243167,51,8367.89332675256
"52",937706,52,8349.43975714285
"53",394115,53,8313.71529047619
"54",661679,54,8216.55450476191
"55",32110,55,8148.42560714286
"56",425717,56,8114.7293322455
"57",574296,57,8104.37108095238
"58",72032,58,8086.69661140642
"59",281856,59,7998.22354553809
"60",110124,60,7856.1540957265
"61",897720,61,7824.66747669087
